

DIM     | INSERTION     | MERGE         | QUICKSORT     | BUBBLE        | SELECTION
1024    | 0.00375869    | 0.000735663   |0.000255198    |0.000342723    |0.00026537
2048    | 0.011603      | 0.00138119    |0.000592931    |0.000764324    |0.000564261
4096    | 0.0456486     | 0.00284989    |0.00126653     |0.00159408     |0.00121473
8192    | 0.178201      | 0.00590739    |0.0025854      |0.0034466      |0.00294649
16384   | 0.80445       | 0.0132506     |0.00586304     |0.00733656     |0.00623945
32768   | 2.9364        | 0.0330518     |0.0150291      |0.017329       |0.0136435
65536   | NULL          | 0.0590328     |0.0297973      |0.033954       |0.0282398
131072  | NULL          | 0.118588      |0.076753       |0.0764612      |0.0736703
262144  | NULL          | 0.244469      |0.15616        |0.153728       |0.154231
524288  | NULL          | 0.519939      |0.42965        |0.30192        |0.413687
1048576 | NULL          | 1.05409       |1.29817        |0.645963       |1.26863
2097152 | NULL          | 2.16786       |3.96136        |1.32365        |4.00337
4194304 | NULL          | 4.46467       |14.2599        |2.77113        |14.4646
8388608 | NULL          | 9.09403       |53.7623        |5.7285 	|53.9246
Nel secondo file (timecheck.cpp) stampo la media dei vettori di dimensione scelta dal utente dal terminale e sortati con il SORT dato già dalle libreria installate e poi il quicksort modificato con l'insertion.
